# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: D:\altera\13.0\Final\Ilara_i_assignments.csv
# Generated on: Fri Jun 26 17:29:39 2020

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,HEX0[6],Location,PIN_V13,Yes,,,
Ok,,HEX0[5],Location,PIN_V14,Yes,,,
Ok,,HEX0[4],Location,PIN_AE11,Yes,,,
Ok,,HEX0[3],Location,PIN_AD11,Yes,,,
Ok,,HEX0[2],Location,PIN_AC12,Yes,,,
Ok,,HEX0[1],Location,PIN_AB12,Yes,,,
Ok,,HEX0[0],Location,PIN_AF10,Yes,,,
Ok,,HEX1[0],Location,PIN_V20,Yes,,,
Ok,,HEX1[1],Location,PIN_V21,Yes,,,
Ok,,HEX1[2],Location,PIN_W21,Yes,,,
Ok,,HEX1[3],Location,PIN_Y22,Yes,,,
Ok,,HEX1[4],Location,PIN_AA24,Yes,,,
Ok,,HEX1[5],Location,PIN_AA23,Yes,,,
Ok,,HEX1[6],Location,PIN_AB24,Yes,,,
Ok,,HEX2[0],Location,PIN_AB23,Yes,,,
Ok,,HEX2[1],Location,PIN_V22,Yes,,,
Ok,,HEX2[2],Location,PIN_AC25,Yes,,,
Ok,,HEX2[3],Location,PIN_AC26,Yes,,,
Ok,,HEX2[4],Location,PIN_AB26,Yes,,,
Ok,,HEX2[5],Location,PIN_AB25,Yes,,,
Ok,,HEX2[6],Location,PIN_Y24,Yes,,,
Ok,,Power,Location,PIN_N25,Yes,,,
Ok,,achtung[0],Location,PIN_AE23,Yes,,,
Ok,,achtung[1],Location,PIN_AF23,Yes,,,
Ok,,achtung[2],Location,PIN_AB21,Yes,,,
Ok,,prim_clk,Location,PIN_N2,Yes,,,
Ok,,achtung[15],Location,PIN_AE13,Yes,,,
Ok,,achtung[3],Location,PIN_AC22,Yes,,,
Ok,,achtung[4],Location,PIN_AD22,Yes,,,
Ok,,achtung[5],Location,PIN_AD23,Yes,,,
Ok,,achtung[6],Location,PIN_AD21,Yes,,,
Ok,,achtung[7],Location,PIN_AC21,Yes,,,
Ok,,achtung[8],Location,PIN_AA14,Yes,,,
Ok,,achtung[9],Location,PIN_Y13,Yes,,,
Ok,,achtung[10],Location,PIN_AA13,Yes,,,
Ok,,achtung[11],Location,PIN_AC14,Yes,,,
Ok,,achtung[12],Location,PIN_AD15,Yes,,,
Ok,,achtung[13],Location,PIN_AE15,Yes,,,
Ok,,achtung[14],Location,PIN_AF13,Yes,,,
,<<new>>,<<new>>,<<new>>,,,,,
